Obs,Customer,I tend to plan things very carefully.,I sometimes have trouble controlling my spending.,I think it is important to purchase products that are made locally.,I carefully consider the health benefits of what I eat.
2,0,1,2,3,2
3,0,1,3,3,2
4,0,2,4,3,2
5,0,2,4,1,2
10,0,2,4,2,3
12,0,2,4,2,1
13,0,2,2,3,3
17,0,1,2,1,1
18,0,3,3,2,3
20,0,1,4,3,2
21,0,2,4,2,2
22,0,2,4,2,3
24,0,1,4,2,1
25,0,2,3,2,2
26,0,1,3,2,1
28,0,2,4,2,1
29,0,2,2,1,2
30,0,2,4,2,2
31,0,1,3,3,2
32,0,2,2,1,2
34,0,1,4,2,2
38,0,3,4,2,2
40,0,3,3,2,1
41,0,1,4,2,1
42,0,1,3,2,1
43,0,2,4,2,4
45,0,2,3,2,2
46,0,2,2,1,2
48,0,4,3,2,2
49,0,1,2,1,2
50,0,2,3,2,2
51,0,2,4,1,2
52,0,1,4,2,2
53,0,2,3,2,3
58,0,1,2,2,2
59,0,3,3,1,3
60,0,1,4,2,2
61,0,2,4,2,4
62,0,2,4,2,1
63,0,2,4,2,2
64,0,2,3,2,2
65,0,2,4,1,2
67,0,2,2,3,4
68,0,2,2,2,2
70,0,1,3,2,3
72,0,2,2,3,3
73,0,3,2,2,2
75,0,1,3,2,2
77,0,2,2,2,2
78,0,3,3,2,3
79,0,2,3,3,3
80,0,2,4,2,2
82,0,2,2,2,1
87,0,3,2,2,2
88,0,2,3,4,2
89,0,2,1,2,2
90,0,3,2,2,2
91,0,2,3,1,1
92,0,2,2,3,2
93,0,2,4,2,2
94,0,1,2,3,1
95,0,1,2,2,1
99,0,2,2,2,2
101,0,2,2,3,3
102,0,2,3,2,2
103,0,3,1,2,2
104,0,4,3,1,1
105,0,3,1,1,2
106,0,2,1,4,3
107,0,1,2,2,1
108,0,2,3,2,1
109,0,2,3,4,2
110,0,3,4,3,2
111,0,2,3,2,1
112,0,1,4,3,2
113,0,1,2,3,1
114,0,2,2,1,2
115,0,1,4,2,1
116,0,3,3,2,3
118,0,1,1,2,2
119,0,1,4,2,2
122,0,1,2,2,4
123,0,1,3,2,2
124,0,1,2,1,2
125,0,2,2,2,2
126,0,2,2,2,2
127,0,1,1,1,2
128,0,2,3,2,2
129,0,2,3,2,1
130,0,2,3,2,3
131,0,2,3,2,2
132,0,1,3,2,1
134,0,1,2,2,1
135,0,1,2,2,1
137,0,1,2,2,3
138,0,2,2,2,2
139,0,1,2,2,3
140,0,1,4,1,1
141,0,2,3,2,2
142,0,3,2,2,2
143,0,1,2,2,1
144,0,2,2,2,2
145,0,1,3,2,3
147,0,3,1,3,2
148,0,2,1,2,2
149,0,1,4,3,1
150,0,2,1,3,3
152,0,1,4,2,2
153,0,2,3,2,2
154,0,2,2,1,2
156,0,1,1,1,1
157,0,3,2,3,3
158,0,2,3,2,2
160,0,2,2,2,1
161,0,2,3,2,1
162,0,2,2,3,2
163,0,1,4,2,2
165,0,2,3,2,3
167,0,3,2,3,3
168,0,1,4,2,1
169,0,2,3,2,3
170,0,2,3,3,2
172,0,2,3,2,2
173,0,1,1,2,2
174,0,1,4,4,2
175,0,2,3,2,1
176,0,1,2,2,2
177,0,2,2,2,2
178,0,2,2,2,2
179,0,1,3,2,2
180,0,1,1,2,2
182,0,1,3,2,1
183,0,3,3,2,2
184,0,2,4,2,2
185,0,1,4,1,1
186,0,2,4,2,2
187,0,2,3,2,3
189,0,1,4,,3
190,0,1,3,2,2
191,0,2,4,2,1
192,0,2,2,1,1
193,0,2,2,3,3
195,0,2,3,2,2
198,0,2,3,2,2
199,0,2,4,2,2
200,0,1,4,2,2
201,0,1,1,1,2
202,0,2,3,2,2
204,0,2,3,2,2
205,0,2,4,3,2
206,0,1,3,1,2
208,0,2,2,2,2
210,0,2,3,1,2
212,0,2,4,2,2
213,0,2,2,3,2
215,0,2,2,2,3
216,0,2,4,2,2
217,0,3,3,2,2
