year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day1_night0,APR,MAY,JUN,JUL,AUG,SEP,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,cap,shirt,fireworks,bobblehead,anypromo
2012,Houston Astros,APR,6,43464,Friday,Colorado Rockies,79,Cloudy,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2012,Houston Astros,APR,7,23962,Saturday,Colorado Rockies,80,Clear,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,Houston Astros,APR,8,14195,Sunday,Colorado Rockies,72,Dome,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,APR,9,17095,Monday,Atlanta Braves,79,Cloudy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,APR,10,22036,Tuesday,Atlanta Braves,78,Cloudy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2012,Houston Astros,APR,11,18225,Wednesday,Atlanta Braves,81,Cloudy,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,Houston Astros,APR,20,30270,Friday,Los Angeles Dodgers,73,Dome,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2012,Houston Astros,APR,21,25562,Saturday,Los Angeles Dodgers,73,Clear,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2012,Houston Astros,APR,22,23948,Sunday,Los Angeles Dodgers,75,Clear,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,APR,30,17536,Monday,New York Mets,80,Cloudy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,1,17958,Tuesday,New York Mets,80,Cloudy,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,2,19442,Wednesday,New York Mets,72,Dome,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,4,27201,Friday,St. Louis Cardinals,84,Cloudy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2012,Houston Astros,MAY,5,23633,Saturday,St. Louis Cardinals,87,Cloudy,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
2012,Houston Astros,MAY,6,22288,Sunday,St. Louis Cardinals,72,Dome,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,7,16531,Monday,Miami Marlins,72,Dome,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,8,14801,Tuesday,Miami Marlins,72,Dome,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,9,16072,Wednesday,Miami Marlins,81,Cloudy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,16,15453,Wednesday,Milwaukee Brewers,73,Dome,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,17,15173,Thursday,Milwaukee Brewers,73,Dome,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,Houston Astros,MAY,18,34715,Friday,Texas Rangers,73,Dome,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
2012,Houston Astros,MAY,19,42673,Saturday,Texas Rangers,73,Dome,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2012,Houston Astros,MAY,20,35873,Sunday,Texas Rangers,73,Dome,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,21,16895,Monday,Chicago Cubs,73,Dome,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,22,20091,Tuesday,Chicago Cubs,73,Dome,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,Houston Astros,MAY,23,18732,Wednesday,Chicago Cubs,73,Dome,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2012,Houston Astros,JUN,1,21464,Friday,Cincinnati Reds,73,Dome,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2012,Houston Astros,JUN,2,22991,Saturday,Cincinnati Reds,73,Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,Houston Astros,JUN,3,19914,Sunday,Cincinnati Reds,73,Dome,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,JUN,5,18911,Tuesday,St. Louis Cardinals,73,Dome,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,Houston Astros,JUN,6,18517,Wednesday,St. Louis Cardinals,73,Dome,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,Houston Astros,JUN,7,22265,Thursday,St. Louis Cardinals,73,Dome,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,Houston Astros,JUN,18,15436,Monday,Kansas City Royals,73,Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Houston Astros,JUN,19,18098,Tuesday,Kansas City Royals,73,Dome,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2012,Houston Astros,JUN,20,30687,Wednesday,Kansas City Royals,73,Dome,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2012,Houston Astros,JUN,22,26932,Friday,Cleveland Indians,73,Dome,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
